lin1,lin2,lin3,lin4,lin5,lin6,lin7,lin8,win
19,3,1,8,19,0,4,8,0
19,3,1,20,18,4,1,20,0
10,18,3,20,10,18,0,23,0
1,20,10,18,1,20,1,21,0
4,2,6,21,1,5,6,21,0
12,6,1,24,3,15,1,24,0
18,4,24,3,18,1,25,3,0
18,7,4,6,18,7,3,7,0
18,4,11,18,18,4,2,21,0
18,7,12,18,18,7,3,21,0
1,19,11,18,1,19,2,21,0
1,24,10,18,0,25,10,18,0
1,24,7,3,1,24,6,4,0
15,18,3,7,6,21,3,7,0
1,24,7,3,0,25,7,3,0
4,0,17,18,1,1,17,18,0
15,1,18,19,6,4,18,19,0
15,1,18,7,6,10,18,7,0
15,1,3,24,15,1,0,25,0
18,10,7,18,18,1,16,18,0
1,24,4,6,1,24,3,7,0
18,10,7,18,18,10,6,19,0
15,0,25,1,6,9,25,1,0
18,12,24,1,18,9,25,1,0
15,0,22,6,15,0,19,7,0
3,24,7,3,3,24,6,4,0
18,16,0,19,18,15,1,19,0
1,15,21,6,0,16,21,6,0
4,6,3,24,1,7,3,24,0
0,25,22,0,0,25,21,1,0
3,19,11,18,0,22,11,18,0
3,19,11,18,3,19,2,21,0
19,6,3,19,19,6,0,22,0
4,0,26,3,3,1,26,3,0
12,6,18,7,9,7,18,7,0
18,22,0,5,18,19,3,5,0
18,10,21,6,18,10,18,7,0
19,6,3,19,18,7,3,19,0
7,18,3,21,6,19,3,21,0
6,21,21,1,6,21,18,4,0
7,1,9,24,7,0,10,24,0
21,6,1,21,21,6,0,22,0
1,21,5,18,1,21,2,21,0
7,1,3,24,7,0,4,24,0
7,0,25,3,7,0,24,4,0
7,0,22,2,6,1,22,2,0
21,18,6,4,18,19,6,4,0
6,22,0,19,6,21,1,19,0
1,11,21,6,1,11,18,7,0
6,22,0,7,6,21,1,7,0
10,2,18,21,1,11,18,21,0
4,18,9,20,4,18,0,23,0
10,18,2,21,9,19,2,21,0
1,15,7,18,1,6,16,18,0
21,9,18,7,18,12,18,7,0
21,9,1,24,18,10,1,24,0
9,24,4,6,9,24,3,7,0
9,24,4,18,9,24,1,19,0
10,0,23,6,1,9,23,6,0
