,line 1,line 2,line 3,line 4,piece to move,place to occupy,possibility of win
913,1210,2200,3001,4210,5101,6011,0.2857142857142857
914,1210,2200,3001,4210,5101,6012,0.5714285714285714
915,1210,2200,3001,4210,5122,6032,0.857142857142857
916,1210,2200,3010,4021,5101,6011,0.14285714285714285
917,1210,2200,3010,4021,5101,6012,0.14285714285714285
918,1210,2200,3010,4201,5101,6011,0.2857142857142857
919,1210,2200,3010,4201,5101,6012,0.2857142857142857
920,1210,2200,3010,4201,5121,6031,0.14285714285714285
921,1210,2200,3020,4011,5101,6011,0.2857142857142857
922,1210,2200,3020,4011,5101,6012,-0.125
923,1210,2200,3100,4201,5101,6011,0.16666666666666666
924,1210,2200,3100,4201,5120,6031,0.2857142857142857
925,1210,2200,3200,4011,5101,6011,1.2857142857142854
926,1210,2200,3200,4011,5101,6012,0.2857142857142857
927,1211,2000,3000,4212,5102,6012,0.14285714285714285
928,1220,2000,3211,4001,5121,6031,-8.875
929,1220,2000,3211,4010,5121,6032,-0.25
930,1220,2000,3211,4010,5122,6032,-0.25
931,1220,2001,3001,4210,5122,6032,-0.875
932,1220,2001,3010,4021,5112,6022,-0.875
933,1220,2001,3010,4201,5112,6022,-0.625
934,1220,2001,3010,4201,5121,6031,-0.125
935,1220,2001,3010,4210,5112,6022,-0.125
936,1220,2001,3020,4011,5112,6022,-0.75
937,1220,2001,3100,4201,5112,6022,1.1428571428571426
938,1220,2001,3100,4210,5112,6022,0.14285714285714285
939,1220,2001,3200,4011,5112,6022,-5.625
940,1220,2010,3001,4021,5111,6021,-0.625
941,1220,2010,3001,4201,5111,6021,-0.125
942,1220,2010,3200,4011,5111,6022,-0.5
943,1221,2000,3000,4211,5102,6012,-0.25
