bo,win
001210021020001210020021,-1.3333333333333333
010220201001000221201001,-1.3333333333333333
001110022200000111022200,-1.3333333333333333
201200001201200201001201,-1.3333333333333333
010021210020010021200021,-1.3333333333333333
001110202020000111202020,-1.3333333333333333
010021210020010020211020,-1.2976190476190477
001110202020001010212020,-1.2666666666666666
011100200202011000210202,-1.2559523809523812
100021201002000121201002,-1.25
101001020202001101020202,-1.2321428571428572
201000211002201000201012,-1.2142857142857144
001021210200001020211200,-1.2083333333333337
001110220002001100221002,-1.2083333333333333
100201220001100200221001,-1.2
010011202200010001212200,-1.1964285714285712
001021210020001020211020,-1.1904761904761905
100011202020100001212020,-1.175
001210220001001200221001,-1.1666666666666663
210020001201200021001201,-1.1666666666666663
210000221001200001221001,-1.1666666666666663
201200001021200201001021,-1.1666666666666663
201001200201201000201201,-1.1666666666666663
110200001022010210001022,-1.1666666666666663
001201220001001200221001,-1.1666666666666663
011100002220001110002220,-1.1666666666666663
010021220001010020221001,-1.1666666666666663
001220011002000221011002,-1.1666666666666663
011100200022001110200022,-1.1583333333333332
100011220020100010221020,-1.15
020201021010020201020011,-1.125
201200001012200201001012,-1.125
010201012200000211012200,-1.125
001210201002001200211002,-1.125
100201021200100201020201,-1.1154761904761905
101010200022100011200022,-1.114285714285714
110000221002010010221002,-1.0833333333333333
011010002220010011002220,-1.0654761904761905
100221000201100220001201,-1.05
010220011002000221011002,-1.0416666666666663
001220011002001220001012,-1.0416666666666663
101000221002001100221002,-1.0416666666666663
001101202200001001212200,-1.023809523809524
011010200202001011200202,-1.023809523809524
001210012020001210002021,-1.0166666666666666
010120201002010020211002,-1.0059523809523812
010201012020010201002021,-1.0
020210201001020200211001,-1.0
210001002210200011002210,-1.0
110001200202010011200202,-1.0
200021201010200021200011,-1.0
010021102200010021002210,-1.0
021200001201020201001201,-1.0
001110220020001100221020,-1.0
001011202200001001212200,-1.0
011010020220011000021220,-1.0
010201201002000211201002,-0.982142857142857
101001020202001011020202,-0.9583333333333331
101200001022100201001022,-0.9583333333333331
011100002220001101002220,-0.9583333333333331
001120201020001020211020,-0.9583333333333331
001211000022001210001022,-0.9583333333333331
100011220200100010221200,-0.95
001201012200001201002201,-0.9166666666666666
101000212020101000202021,-0.8999999999999999
010011220020010010221020,-0.8809523809523809
101001020220001011020220,-0.8809523809523808
010210021020010210020021,-0.8809523809523808
101200001202001210001202,-0.875
021200200011020201200011,-0.875
200011012200200011002201,-0.875
220001010021220000011021,-0.875
000211212000000211202010,-0.875
220001001210220001000211,-0.875
101010002220001110002220,-0.8488095238095237
001120201200001020211200,-0.8333333333333333
010221000201010220001201,-0.8333333333333333
001011220020001001221020,-0.8333333333333333
001201021200001201020201,-0.8333333333333333
001201201200001201200201,-0.8333333333333333
201010020021201000021021,-0.8333333333333333
101000221020100001221020,-0.8226190476190476
011100020202001110020202,-0.8154761904761905
011010002220011000012220,-0.7976190476190476
011100002220011000102220,-0.7916666666666666
001220011200000221011200,-0.7916666666666666
010011220002010010221002,-0.7916666666666666
110000221002100001221002,-0.7916666666666666
021200001012020201001012,-0.7916666666666665
021100200021020101200021,-0.75
020221000011020220001011,-0.75
120200001021020210001021,-0.75
220001020011220000021011,-0.75
021200001210020201001210,-0.75
001101022200001001122200,-0.75
001120201020001120200021,-0.75
020201201010020201200011,-0.75
110001020220010011020220,-0.7380952380952379
010210021200010210020201,-0.7142857142857142
200011201200200001211200,-0.7142857142857141
100211000202100201001202,-0.6916666666666667
001112000220001102001220,-0.6916666666666667
100201021200000211021200,-0.6904761904761905
001011220020001010221020,-0.6904761904761904
210020001021200021001021,-0.6666666666666666
010201012200010201002201,-0.6666666666666666
